TITLE     = ""
VARIABLES = "Z<sub>fs</sub>  [m]"
"L<sub>uxfs</sub> [m]"
ZONE T="z<sub>0</sub> <math>;</math> 10 m (Theorie)"
 I=21, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.013155594E+002 2.093002930E+002
 5.071897125E+001 1.414745789E+002
 4.525214005E+001 1.048037949E+002
 2.345678902E+001 7.761494446E+001
 1.844862747E+001 6.543321228E+001
 1.531158924E+001 6.024863815E+001
 1.130392456E+001 4.545532608E+001
 1.645402336E+001 3.700303650E+001
 1.014894772E+001 3.280956268E+001
ZONE T="wind tunnel (Bernd)"
 I=3, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.450000000E+001 1.486699982E+002
 7.950000000E+001 1.835700073E+002
 1.800000000E+002 1.718899994E+002
ZONE T="wind tunnel (new)"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.557359924E+002
 6.000000000E+001 2.650140076E+002
 9.000000000E+001 2.736029968E+002
 1.200000000E+002 2.489060059E+002
 1.500000000E+002 1.831790009E+002
 1.800000000E+002 1.733359985E+002
 2.100000000E+002 1.855229950E+002
ZONE T="ZONE 001"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.541445007E+002
 6.000000000E+001 2.454389954E+002
 9.000000000E+001 2.837497559E+002
 1.200000000E+002 2.414174957E+002
 1.500000000E+002 1.929989929E+002
 1.800000000E+002 1.901219940E+002
 2.100000000E+002 1.856999969E+002
ZONE T="ZONE 001"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.478535004E+002
 6.000000000E+001 1.852185059E+002
 9.000000000E+001 2.125484924E+002
 1.200000000E+002 2.071875000E+002
 1.500000000E+002 1.925234985E+002
 1.800000000E+002 2.069100037E+002
 2.100000000E+002 1.997955017E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.598370056E+002
 9.000000000E+001 1.862920074E+002
 1.500000000E+002 1.788849945E+002
 2.100000000E+002 1.722539978E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.441130066E+002
 9.000000000E+001 2.314880066E+002
 1.500000000E+002 1.781459961E+002
 2.100000000E+002 1.700939941E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.423910065E+002
 9.000000000E+001 2.249420013E+002
 1.500000000E+002 2.507539978E+002
 2.100000000E+002 1.703020020E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 2.197700043E+002
 9.000000000E+001 1.233089981E+002
 1.500000000E+002 2.043339996E+002
 2.100000000E+002 2.154799957E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.426190033E+002
 9.000000000E+001 2.297230072E+002
 1.500000000E+002 2.208679962E+002
 2.100000000E+002 2.648919983E+002
ZONE T="ZONE 001"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.498452911E+002
 6.000000000E+001 2.454389954E+002
 9.000000000E+001 2.613518677E+002
 1.200000000E+002 2.414174957E+002
 1.500000000E+002 1.866334229E+002
 1.800000000E+002 1.901219940E+002
 2.100000000E+002 1.790117188E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.659999847E+001 2.111040039E+002
 8.969999695E+001 2.610119934E+002
 1.478999939E+002 1.804290009E+002
 2.205000000E+002 1.738289948E+002
ZONE T="ZONE 001"
 I=25, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 9.810000420E+000 1.225000000E+002
 1.127999973E+001 1.354129944E+002
 1.296000004E+001 1.256179962E+002
 1.490999985E+001 1.045019989E+002
 1.715999985E+001 1.456920013E+002
 1.973999977E+001 1.445970001E+002
 2.268000031E+001 1.206740036E+002
 2.610000038E+001 2.128359985E+002
 3.003000069E+001 1.505039978E+002
 3.452999878E+001 1.147239990E+002
 3.972000122E+001 1.282890015E+002
 4.568999863E+001 1.531410065E+002
 5.256000137E+001 1.892790070E+002
 6.045000076E+001 1.708930054E+002
 6.954000092E+001 2.686109924E+002
 8.001000214E+001 1.941239929E+002
 9.387000275E+001 2.011620026E+002
 1.080000000E+002 1.706150055E+002
 1.242300034E+002 2.487019958E+002
 1.428899994E+002 1.709730072E+002
 1.643399963E+002 1.676060028E+002
 1.890599976E+002 1.836660004E+002
 2.174700012E+002 1.614279938E+002
 2.501399994E+002 1.715500031E+002
 2.877300110E+002 1.221869965E+002
ZONE T="ZONE 001"
 I=35, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.659999847E+001 1.484259949E+002
 3.840000153E+001 1.727691956E+002
 4.020000076E+001 1.575386047E+002
 4.229999924E+001 1.700861969E+002
 4.440000153E+001 1.903215942E+002
 4.679999924E+001 1.813141937E+002
 4.920000076E+001 2.049286041E+002
 5.159999847E+001 2.388271942E+002
 5.429999924E+001 1.723894043E+002
 5.729999924E+001 1.749902039E+002
 6.000000000E+001 1.860839996E+002
 6.329999924E+001 1.939671936E+002
 6.630000305E+001 1.881242065E+002
 6.990000153E+001 2.129136047E+002
 7.350000000E+001 1.963831940E+002
 7.709999847E+001 2.197281952E+002
 8.100000000E+001 2.119974060E+002
 8.519999695E+001 1.943867950E+002
 8.969999695E+001 1.871280060E+002
 9.419999695E+001 2.145758057E+002
 9.900000000E+001 1.828679962E+002
 1.040999985E+002 1.820084076E+002
 1.095000000E+002 1.962588043E+002
 1.151999969E+002 1.882346039E+002
 1.209000015E+002 1.931295929E+002
 1.271999969E+002 2.000576019E+002
 1.338000031E+002 1.892277985E+002
 1.406999969E+002 2.130706024E+002
 1.478999939E+002 2.284645996E+002
 1.553999939E+002 1.859732056E+002
 1.635000000E+002 1.768081970E+002
 1.716000061E+002 1.839873962E+002
 1.806000061E+002 1.810153961E+002
 1.898999939E+002 1.790364075E+002
 1.995000000E+002 1.718000031E+002
ZONE T="ZONE 001"
 I=25, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 9.600000381E+000 1.086620026E+002
 1.110000038E+001 1.141269989E+002
 1.289999962E+001 1.168215027E+002
 1.469999981E+001 1.113740005E+002
 1.710000038E+001 1.399709930E+002
 1.950000000E+001 1.339369965E+002
 2.250000000E+001 1.196969986E+002
 2.610000038E+001 1.785494995E+002
 3.000000000E+001 1.315585022E+002
 3.450000000E+001 1.323845062E+002
 3.959999847E+001 1.359674988E+002
 4.559999847E+001 1.522845001E+002
 5.250000000E+001 1.793730011E+002
 6.029999924E+001 1.715820007E+002
 6.930000305E+001 2.243930054E+002
 7.980000305E+001 1.783704987E+002
 9.359999847E+001 1.815610046E+002
 1.080000000E+002 1.826365051E+002
 1.241999969E+002 2.184700012E+002
 1.428000031E+002 1.735489960E+002
 1.641000061E+002 1.587845001E+002
 1.890000000E+002 1.744490051E+002
 2.171999969E+002 1.590899963E+002
 2.498999939E+002 1.595269928E+002
 2.877000122E+002 1.151340027E+002
ZONE T="ZONE 001"
